Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.8187134502923976,0.9130434782608695,0.8689655172413793,0.8904593639575972
Random Forest,0.9181286549707602,0.9171974522292994,0.993103448275862,0.9536423841059603
SVM (Linear Kernel),0.6842105263157895,1.0,0.6275862068965518,0.7711864406779662
SVM (RBF Kernel),0.695906432748538,1.0,0.6413793103448275,0.7815126050420168
SVM (Polynomial Kernel),0.8654970760233918,0.8719512195121951,0.9862068965517241,0.9255663430420712
XGBoost,0.9064327485380117,0.9056603773584906,0.993103448275862,0.9473684210526315
KNN,0.9064327485380117,0.9271523178807947,0.9655172413793104,0.9459459459459459
