,accuracy,f1_score_asymmetry,precision_asymmetry,recall_asymmetry
RandomForest,0.998533724340176,0.9989701338825953,0.9979423868312757,1.0
GradientBoosting,0.998533724340176,0.9989701338825953,0.9979423868312757,1.0
SVC (RBF Kernel),0.9956011730205279,0.9969167523124358,0.9938524590163934,1.0
LogisticRegression,0.9941348973607038,0.9958762886597938,0.9958762886597938,0.9958762886597938
