Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.7251461988304093,0.9107142857142857,0.7338129496402878,0.8127490039840638
Random Forest,0.8245614035087719,0.8758620689655172,0.9136690647482014,0.8943661971830986
SVM (Linear Kernel),0.6491228070175439,1.0,0.5683453237410072,0.7247706422018348
SVM (RBF Kernel),0.6900584795321637,0.9777777777777777,0.6330935251798561,0.7685589519650655
SVM (Polynomial Kernel),0.783625730994152,0.8355263157894737,0.9136690647482014,0.872852233676976
XGBoost,0.8362573099415205,0.8827586206896552,0.920863309352518,0.9014084507042254
KNN,0.847953216374269,0.9185185185185185,0.8920863309352518,0.9051094890510949
