Model,Accuracy,Precision,Recall,F1-Score,auc,confusion_matrix
Logistic Regression,0.9375,1.0,0.875,0.9333333333333333,0.97265625,"[[16, 0], [2, 14]]"
Random Forest,0.9375,1.0,0.875,0.9333333333333333,1.0,"[[16, 0], [2, 14]]"
SVM (Linear Kernel),0.9375,1.0,0.875,0.9333333333333333,0.984375,"[[16, 0], [2, 14]]"
SVM (RBF Kernel),0.96875,1.0,0.9375,0.967741935483871,0.984375,"[[16, 0], [1, 15]]"
SVM (Polynomial Kernel),0.8125,1.0,0.625,0.7692307692307693,0.98046875,"[[16, 0], [6, 10]]"
XGBoost,0.9375,0.9375,0.9375,0.9375,0.94921875,"[[15, 1], [1, 15]]"
KNN,0.96875,1.0,0.9375,0.967741935483871,0.962890625,"[[16, 0], [1, 15]]"
