Model,Accuracy,Precision,Recall,F1-Score,AUC,Confusion Matrix
Logistic Regression,0.8098591549295775,0.9776536312849162,0.7777777777777778,0.8663366336633663,0.8752542372881356,"[[55, 4], [50, 175]]"
Random Forest,0.9119718309859155,0.923728813559322,0.9688888888888889,0.9457700650759219,0.9526930320150659,"[[41, 18], [7, 218]]"
SVM (Linear Kernel),0.7711267605633803,1.0,0.7111111111111111,0.8311688311688312,0.864934086629002,"[[59, 0], [65, 160]]"
SVM (RBF Kernel),0.7922535211267606,1.0,0.7377777777777778,0.8491048593350383,0.9236158192090395,"[[59, 0], [59, 166]]"
SVM (Polynomial Kernel),0.8063380281690141,0.9381443298969072,0.8088888888888889,0.8687350835322196,0.8857250470809793,"[[47, 12], [43, 182]]"
XGBoost,0.9225352112676056,0.9432314410480349,0.96,0.9515418502202643,0.9634651600753296,"[[46, 13], [9, 216]]"
KNN,0.9330985915492958,0.963963963963964,0.9511111111111111,0.9574944071588367,0.9531826741996232,"[[51, 8], [11, 214]]"
