,accuracy,f1_score_asymmetry,precision_asymmetry,recall_asymmetry
GradientBoosting,0.9970674486803519,0.9974747474747475,1.0,0.9949622166246851
RandomForest,0.9956011730205279,0.9962168978562421,0.9974747474747475,0.9949622166246851
LogisticRegression,0.9912023460410557,0.9923857868020305,1.0,0.9848866498740554
SVC (RBF Kernel),0.9809384164222874,0.9834394904458599,0.9948453608247423,0.9722921914357683
