epoc (ms),timestamp (+0700),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1638241845343,2021-11-30T10.10.45.343,0.000,0.549,0.244,-0.366
1638241845353,2021-11-30T10.10.45.353,0.010,0.854,0.122,-0.488
1638241845363,2021-11-30T10.10.45.363,0.020,0.488,0.122,-0.427
1638241845373,2021-11-30T10.10.45.373,0.030,0.427,0.244,-0.366
1638241845383,2021-11-30T10.10.45.383,0.040,0.549,0.305,-0.366
1638241845393,2021-11-30T10.10.45.393,0.050,0.610,0.427,-0.305
1638241845403,2021-11-30T10.10.45.403,0.060,0.549,0.488,-0.305
1638241845413,2021-11-30T10.10.45.413,0.070,0.610,0.427,-0.427
1638241845423,2021-11-30T10.10.45.423,0.080,0.671,0.488,-0.427
1638241845433,2021-11-30T10.10.45.433,0.090,0.793,0.610,-0.427
1638241845443,2021-11-30T10.10.45.443,0.100,0.793,0.610,-0.366
1638241845453,2021-11-30T10.10.45.453,0.110,0.915,0.610,-0.427
1638241845463,2021-11-30T10.10.45.463,0.120,0.915,0.549,-0.488
1638241845473,2021-11-30T10.10.45.473,0.130,0.793,0.610,-0.549
1638241845483,2021-11-30T10.10.45.483,0.140,0.793,0.671,-0.488
1638241845493,2021-11-30T10.10.45.493,0.150,0.732,0.671,-0.488
1638241845503,2021-11-30T10.10.45.503,0.160,0.671,0.732,-0.671
1638241845513,2021-11-30T10.10.45.513,0.170,0.793,0.732,-0.549
1638241845523,2021-11-30T10.10.45.523,0.180,0.793,0.671,-0.549
1638241845533,2021-11-30T10.10.45.533,0.190,0.793,0.671,-0.549
1638241845543,2021-11-30T10.10.45.543,0.200,0.671,0.671,-0.488
1638241845553,2021-11-30T10.10.45.553,0.210,0.610,0.610,-0.366
1638241845563,2021-11-30T10.10.45.563,0.220,0.610,0.671,-0.488
1638241845573,2021-11-30T10.10.45.573,0.230,0.549,0.671,-0.549
1638241845583,2021-11-30T10.10.45.583,0.240,0.610,0.732,-0.488
1638241845593,2021-11-30T10.10.45.593,0.250,0.671,0.732,-0.488
1638241845603,2021-11-30T10.10.45.603,0.260,0.549,0.732,-0.427
1638241845613,2021-11-30T10.10.45.613,0.270,0.549,0.671,-0.488
1638241845623,2021-11-30T10.10.45.623,0.280,0.427,0.671,-0.488
1638241845633,2021-11-30T10.10.45.633,0.290,0.549,0.610,-0.427
1638241845643,2021-11-30T10.10.45.643,0.300,0.549,0.610,-0.366
1638241845653,2021-11-30T10.10.45.653,0.310,0.488,0.549,-0.427
1638241845663,2021-11-30T10.10.45.663,0.320,0.549,0.488,-0.488
1638241845673,2021-11-30T10.10.45.673,0.330,0.610,0.549,-0.488
1638241845683,2021-11-30T10.10.45.683,0.340,0.549,0.488,-0.366
1638241845693,2021-11-30T10.10.45.693,0.350,0.488,0.488,-0.427
1638241845703,2021-11-30T10.10.45.703,0.360,0.488,0.549,-0.427
1638241845713,2021-11-30T10.10.45.713,0.370,0.427,0.671,-0.488
1638241845723,2021-11-30T10.10.45.723,0.380,0.244,0.610,-0.488
1638241845733,2021-11-30T10.10.45.733,0.390,0.366,0.610,-0.366
1638241845743,2021-11-30T10.10.45.743,0.400,0.488,0.549,-0.366
1638241845753,2021-11-30T10.10.45.753,0.410,0.488,0.488,-0.366
1638241845763,2021-11-30T10.10.45.763,0.420,0.427,0.549,-0.244
1638241845773,2021-11-30T10.10.45.773,0.430,0.366,0.549,-0.366
1638241845783,2021-11-30T10.10.45.783,0.440,0.366,0.488,-0.366
1638241845793,2021-11-30T10.10.45.793,0.450,0.366,0.610,-0.305
1638241845803,2021-11-30T10.10.45.803,0.460,0.427,0.732,-0.305
1638241845813,2021-11-30T10.10.45.813,0.470,0.427,0.671,-0.305
1638241845823,2021-11-30T10.10.45.823,0.480,0.305,0.732,-0.366
1638241845833,2021-11-30T10.10.45.833,0.490,0.244,0.793,-0.366
1638241845843,2021-11-30T10.10.45.843,0.500,0.244,0.732,-0.183
1638241845853,2021-11-30T10.10.45.853,0.510,0.183,0.793,-0.183
1638241845863,2021-11-30T10.10.45.863,0.520,0.244,0.793,-0.183
1638241845873,2021-11-30T10.10.45.873,0.530,0.305,0.793,-0.122
1638241845883,2021-11-30T10.10.45.883,0.540,0.244,0.854,-0.122
1638241845893,2021-11-30T10.10.45.893,0.550,0.183,0.854,-0.061
1638241845903,2021-11-30T10.10.45.903,0.560,0.183,0.854,-0.061
1638241845913,2021-11-30T10.10.45.913,0.570,0.183,0.732,0.061
1638241845923,2021-11-30T10.10.45.923,0.580,0.366,0.732,0.122
1638241845933,2021-11-30T10.10.45.933,0.590,0.366,0.671,0.183
1638241845943,2021-11-30T10.10.45.943,0.600,0.366,0.732,0.183
1638241845953,2021-11-30T10.10.45.953,0.610,0.366,0.793,0.305
1638241845963,2021-11-30T10.10.45.963,0.620,0.244,0.793,0.366
1638241845973,2021-11-30T10.10.45.973,0.630,0.122,0.854,0.427
1638241845983,2021-11-30T10.10.45.983,0.640,0.122,0.976,0.427
1638241845993,2021-11-30T10.10.45.993,0.650,0.122,0.915,0.488
1638241846003,2021-11-30T10.10.46.003,0.660,0.122,0.732,0.610
1638241846013,2021-11-30T10.10.46.013,0.670,0.183,0.793,0.610
1638241846023,2021-11-30T10.10.46.023,0.680,0.183,0.793,0.610
1638241846033,2021-11-30T10.10.46.033,0.690,0.183,0.671,0.610
1638241846043,2021-11-30T10.10.46.043,0.700,0.244,0.732,0.732
1638241846053,2021-11-30T10.10.46.053,0.710,0.061,0.671,0.610
1638241846063,2021-11-30T10.10.46.063,0.720,0.122,0.610,0.549
1638241846073,2021-11-30T10.10.46.073,0.730,0.061,0.671,0.671
1638241846083,2021-11-30T10.10.46.083,0.740,0.000,0.732,0.732
1638241846093,2021-11-30T10.10.46.093,0.750,-0.122,0.671,0.854
1638241846103,2021-11-30T10.10.46.103,0.760,-0.061,0.549,0.793
1638241846113,2021-11-30T10.10.46.113,0.770,-0.183,0.549,0.671
1638241846123,2021-11-30T10.10.46.123,0.780,-0.305,0.549,0.793
1638241846133,2021-11-30T10.10.46.133,0.790,-0.122,0.549,0.854
1638241846143,2021-11-30T10.10.46.143,0.800,-0.183,0.488,0.854
1638241846153,2021-11-30T10.10.46.153,0.810,-0.244,0.549,0.976
1638241846163,2021-11-30T10.10.46.163,0.820,-0.183,0.488,0.976
1638241846173,2021-11-30T10.10.46.173,0.830,-0.183,0.549,0.915
1638241846183,2021-11-30T10.10.46.183,0.840,-0.305,0.427,0.732
1638241846193,2021-11-30T10.10.46.193,0.850,-0.305,0.427,0.793
1638241846203,2021-11-30T10.10.46.203,0.860,-0.244,0.366,0.793
1638241846213,2021-11-30T10.10.46.213,0.870,-0.183,0.366,0.732
1638241846223,2021-11-30T10.10.46.223,0.880,-0.183,0.427,0.793
1638241846233,2021-11-30T10.10.46.233,0.890,-0.183,0.366,0.732
1638241846243,2021-11-30T10.10.46.243,0.900,-0.183,0.366,0.732
1638241846253,2021-11-30T10.10.46.253,0.910,-0.183,0.305,0.671
1638241846263,2021-11-30T10.10.46.263,0.920,-0.122,0.305,0.671
1638241846273,2021-11-30T10.10.46.273,0.930,-0.122,0.305,0.610
1638241846283,2021-11-30T10.10.46.283,0.940,-0.122,0.244,0.610
1638241846293,2021-11-30T10.10.46.293,0.950,-0.122,0.183,0.732
1638241846303,2021-11-30T10.10.46.303,0.960,0.000,0.183,0.549
1638241846313,2021-11-30T10.10.46.313,0.970,0.061,0.183,0.488
1638241846323,2021-11-30T10.10.46.323,0.980,-0.061,0.122,0.488
1638241846333,2021-11-30T10.10.46.333,0.990,-0.061,0.183,0.610
1638241846343,2021-11-30T10.10.46.343,1.000,0.000,0.183,0.427
1638241846353,2021-11-30T10.10.46.353,1.010,-0.122,0.061,0.427
1638241846363,2021-11-30T10.10.46.363,1.020,-0.122,0.122,0.488
1638241846373,2021-11-30T10.10.46.373,1.030,-0.183,0.122,0.549
1638241846383,2021-11-30T10.10.46.383,1.040,-0.122,0.061,0.488
1638241846393,2021-11-30T10.10.46.393,1.050,-0.183,0.122,0.549
1638241846403,2021-11-30T10.10.46.403,1.060,-0.122,0.122,0.366
1638241846413,2021-11-30T10.10.46.413,1.070,-0.244,0.061,0.427
1638241846423,2021-11-30T10.10.46.423,1.080,-0.061,0.061,0.366
1638241846433,2021-11-30T10.10.46.433,1.090,-0.122,0.061,0.305
1638241846443,2021-11-30T10.10.46.443,1.100,-0.061,0.000,0.366
1638241846453,2021-11-30T10.10.46.453,1.110,0.000,-0.061,0.366
1638241846463,2021-11-30T10.10.46.463,1.120,-0.061,-0.061,0.366
1638241846473,2021-11-30T10.10.46.473,1.130,-0.244,0.000,0.488
1638241846483,2021-11-30T10.10.46.483,1.140,-0.183,0.000,0.549
1638241846493,2021-11-30T10.10.46.493,1.150,-0.183,-0.061,0.488
1638241846503,2021-11-30T10.10.46.503,1.160,-0.183,-0.122,0.488
1638241846513,2021-11-30T10.10.46.513,1.170,-0.183,-0.183,0.488
1638241846523,2021-11-30T10.10.46.523,1.180,-0.244,-0.183,0.488
1638241846533,2021-11-30T10.10.46.533,1.190,-0.122,-0.122,0.549
1638241846543,2021-11-30T10.10.46.543,1.200,-0.244,-0.183,0.549
1638241846553,2021-11-30T10.10.46.553,1.210,-0.366,-0.061,0.671
1638241846563,2021-11-30T10.10.46.563,1.220,-0.366,0.000,0.732
1638241846573,2021-11-30T10.10.46.573,1.230,-0.488,-0.061,0.671
1638241846583,2021-11-30T10.10.46.583,1.240,-0.488,-0.061,0.610
1638241846593,2021-11-30T10.10.46.593,1.250,-0.366,-0.122,0.610
1638241846603,2021-11-30T10.10.46.603,1.260,-0.244,-0.183,0.671
1638241846613,2021-11-30T10.10.46.613,1.270,-0.183,-0.244,0.610
1638241846623,2021-11-30T10.10.46.623,1.280,-0.305,-0.244,0.610
1638241846633,2021-11-30T10.10.46.633,1.290,-0.427,-0.183,0.549
1638241846643,2021-11-30T10.10.46.643,1.300,-0.427,-0.244,0.488
1638241846653,2021-11-30T10.10.46.653,1.310,-0.366,-0.305,0.488
1638241846663,2021-11-30T10.10.46.663,1.320,-0.305,-0.183,0.488
1638241846673,2021-11-30T10.10.46.673,1.330,-0.183,-0.183,0.549
1638241846683,2021-11-30T10.10.46.683,1.340,-0.244,-0.183,0.427
1638241846693,2021-11-30T10.10.46.693,1.350,-0.244,-0.183,0.488
1638241846703,2021-11-30T10.10.46.703,1.360,-0.244,-0.244,0.488
1638241846713,2021-11-30T10.10.46.713,1.370,-0.305,-0.183,0.549
1638241846723,2021-11-30T10.10.46.723,1.380,-0.305,-0.183,0.427
1638241846733,2021-11-30T10.10.46.733,1.390,-0.244,-0.244,0.427
1638241846743,2021-11-30T10.10.46.743,1.400,-0.183,-0.244,0.305
1638241846753,2021-11-30T10.10.46.753,1.410,-0.061,-0.244,0.305
1638241846763,2021-11-30T10.10.46.763,1.420,-0.244,-0.305,0.305
1638241846773,2021-11-30T10.10.46.773,1.430,-0.244,-0.244,0.244
1638241846783,2021-11-30T10.10.46.783,1.440,-0.122,-0.183,0.244
1638241846793,2021-11-30T10.10.46.793,1.450,-0.122,-0.244,0.244
1638241846803,2021-11-30T10.10.46.803,1.460,-0.122,-0.305,0.122
1638241846813,2021-11-30T10.10.46.813,1.470,0.000,-0.366,0.122
1638241846823,2021-11-30T10.10.46.823,1.480,-0.122,-0.244,0.122
1638241846833,2021-11-30T10.10.46.833,1.490,-0.061,-0.244,0.244
1638241846843,2021-11-30T10.10.46.843,1.500,-0.122,-0.305,0.122
1638241846853,2021-11-30T10.10.46.853,1.510,-0.122,-0.305,0.122
1638241846863,2021-11-30T10.10.46.863,1.520,0.000,-0.244,0.122
1638241846873,2021-11-30T10.10.46.873,1.530,0.122,-0.305,0.061
1638241846883,2021-11-30T10.10.46.883,1.540,0.122,-0.305,0.000
1638241846893,2021-11-30T10.10.46.893,1.550,0.122,-0.305,0.061
1638241846903,2021-11-30T10.10.46.903,1.560,0.061,-0.305,0.061
1638241846913,2021-11-30T10.10.46.913,1.570,0.061,-0.244,0.061
1638241846923,2021-11-30T10.10.46.923,1.580,0.061,-0.305,-0.061
1638241846933,2021-11-30T10.10.46.933,1.590,0.061,-0.305,0.000
1638241846943,2021-11-30T10.10.46.943,1.600,0.000,-0.244,0.000
1638241846953,2021-11-30T10.10.46.953,1.610,0.000,-0.305,-0.122
1638241846963,2021-11-30T10.10.46.963,1.620,0.000,-0.366,-0.183
1638241846973,2021-11-30T10.10.46.973,1.630,0.000,-0.366,-0.122
1638241846983,2021-11-30T10.10.46.983,1.640,0.061,-0.366,-0.183
1638241846993,2021-11-30T10.10.46.993,1.650,0.183,-0.427,-0.244
1638241847003,2021-11-30T10.10.47.003,1.660,0.244,-0.427,-0.183
1638241847013,2021-11-30T10.10.47.013,1.670,0.122,-0.427,-0.183
1638241847023,2021-11-30T10.10.47.023,1.680,0.061,-0.427,-0.244
1638241847033,2021-11-30T10.10.47.033,1.690,0.244,-0.305,-0.244
1638241847043,2021-11-30T10.10.47.043,1.700,0.122,-0.427,-0.183
1638241847053,2021-11-30T10.10.47.053,1.710,0.061,-0.366,-0.244
1638241847063,2021-11-30T10.10.47.063,1.720,0.244,-0.366,-0.366
1638241847073,2021-11-30T10.10.47.073,1.730,0.183,-0.488,-0.305
1638241847083,2021-11-30T10.10.47.083,1.740,0.244,-0.549,-0.244
1638241847093,2021-11-30T10.10.47.093,1.750,0.183,-0.610,-0.305
1638241847103,2021-11-30T10.10.47.103,1.760,0.122,-0.549,-0.183
1638241847113,2021-11-30T10.10.47.113,1.770,0.183,-0.305,-0.183
1638241847123,2021-11-30T10.10.47.123,1.780,0.183,-0.305,-0.244
1638241847133,2021-11-30T10.10.47.133,1.790,0.122,-0.427,-0.244
1638241847143,2021-11-30T10.10.47.143,1.800,0.183,-0.488,-0.183
1638241847153,2021-11-30T10.10.47.153,1.810,0.183,-0.427,-0.122
1638241847163,2021-11-30T10.10.47.163,1.820,0.122,-0.244,-0.061
1638241847173,2021-11-30T10.10.47.173,1.830,0.183,-0.244,0.000
1638241847183,2021-11-30T10.10.47.183,1.840,0.183,-0.244,-0.061
1638241847193,2021-11-30T10.10.47.193,1.850,0.122,-0.244,0.000
1638241847203,2021-11-30T10.10.47.203,1.860,0.000,-0.305,0.000
1638241847213,2021-11-30T10.10.47.213,1.870,0.061,-0.305,-0.122
1638241847223,2021-11-30T10.10.47.223,1.880,0.122,-0.244,-0.061
1638241847233,2021-11-30T10.10.47.233,1.890,0.244,-0.244,-0.122
1638241847243,2021-11-30T10.10.47.243,1.900,0.305,-0.244,-0.183
1638241847253,2021-11-30T10.10.47.253,1.910,0.244,-0.244,-0.183
1638241847263,2021-11-30T10.10.47.263,1.920,0.183,-0.183,-0.122
1638241847273,2021-11-30T10.10.47.273,1.930,0.061,-0.244,-0.183
1638241847283,2021-11-30T10.10.47.283,1.940,-0.061,-0.244,-0.183
1638241847293,2021-11-30T10.10.47.293,1.950,-0.061,-0.244,-0.122
1638241847303,2021-11-30T10.10.47.303,1.960,0.122,-0.244,-0.122
1638241847313,2021-11-30T10.10.47.313,1.970,0.061,-0.122,-0.061
1638241847323,2021-11-30T10.10.47.323,1.980,0.122,-0.183,0.061
1638241847333,2021-11-30T10.10.47.333,1.990,0.122,-0.244,0.305
1638241847343,2021-11-30T10.10.47.343,2.000,0.000,-0.183,0.305
1638241847353,2021-11-30T10.10.47.353,2.010,0.122,-0.122,0.366
1638241847363,2021-11-30T10.10.47.363,2.020,0.061,-0.122,0.366
1638241847373,2021-11-30T10.10.47.373,2.030,0.061,-0.122,0.427
1638241847383,2021-11-30T10.10.47.383,2.040,0.122,-0.061,0.427
1638241847393,2021-11-30T10.10.47.393,2.050,-0.061,-0.061,0.366
1638241847403,2021-11-30T10.10.47.403,2.060,0.000,-0.061,0.366
1638241847413,2021-11-30T10.10.47.413,2.070,0.061,0.000,0.366
1638241847423,2021-11-30T10.10.47.423,2.080,0.000,0.061,0.305
1638241847433,2021-11-30T10.10.47.433,2.090,0.061,0.061,0.244
1638241847443,2021-11-30T10.10.47.443,2.100,0.183,0.000,0.183
1638241847453,2021-11-30T10.10.47.453,2.110,0.122,0.061,0.183
1638241847463,2021-11-30T10.10.47.463,2.120,0.061,0.122,0.183
1638241847473,2021-11-30T10.10.47.473,2.130,-0.061,0.061,0.061
1638241847483,2021-11-30T10.10.47.483,2.140,0.000,0.061,0.122
1638241847493,2021-11-30T10.10.47.493,2.150,0.000,0.000,0.122
1638241847503,2021-11-30T10.10.47.503,2.160,0.061,-0.122,0.183
1638241847513,2021-11-30T10.10.47.513,2.170,0.122,-0.061,0.122
1638241847523,2021-11-30T10.10.47.523,2.180,0.122,0.000,0.183
1638241847533,2021-11-30T10.10.47.533,2.190,0.183,0.000,0.305
1638241847543,2021-11-30T10.10.47.543,2.200,0.122,0.000,0.305
1638241847553,2021-11-30T10.10.47.553,2.210,0.000,0.000,0.366
1638241847563,2021-11-30T10.10.47.563,2.220,0.000,0.061,0.305
1638241847573,2021-11-30T10.10.47.573,2.230,-0.061,0.122,0.305
1638241847583,2021-11-30T10.10.47.583,2.240,0.000,0.122,0.366
1638241847593,2021-11-30T10.10.47.593,2.250,0.000,0.061,0.244
1638241847603,2021-11-30T10.10.47.603,2.260,0.061,-0.061,0.122
1638241847613,2021-11-30T10.10.47.613,2.270,0.122,-0.061,0.183
1638241847623,2021-11-30T10.10.47.623,2.280,0.122,0.000,0.183
1638241847633,2021-11-30T10.10.47.633,2.290,0.122,0.061,0.183
1638241847643,2021-11-30T10.10.47.643,2.300,0.122,0.122,0.122
1638241847653,2021-11-30T10.10.47.653,2.310,0.122,0.122,0.183
1638241847663,2021-11-30T10.10.47.663,2.320,0.061,0.122,0.122
1638241847673,2021-11-30T10.10.47.673,2.330,0.061,0.183,0.183
1638241847683,2021-11-30T10.10.47.683,2.340,0.122,0.183,0.183
1638241847693,2021-11-30T10.10.47.693,2.350,0.183,0.244,0.366
1638241847703,2021-11-30T10.10.47.703,2.360,0.183,0.244,0.366
1638241847713,2021-11-30T10.10.47.713,2.370,0.244,0.244,0.305
1638241847723,2021-11-30T10.10.47.723,2.380,0.183,0.122,0.122
1638241847733,2021-11-30T10.10.47.733,2.390,0.061,0.122,0.244
1638241847743,2021-11-30T10.10.47.743,2.400,0.183,0.244,0.183
1638241847753,2021-11-30T10.10.47.753,2.410,0.244,0.244,0.122
1638241847763,2021-11-30T10.10.47.763,2.420,0.244,0.244,0.000
1638241847773,2021-11-30T10.10.47.773,2.430,0.305,0.244,0.061
1638241847783,2021-11-30T10.10.47.783,2.440,0.427,0.244,-0.061
1638241847793,2021-11-30T10.10.47.793,2.450,0.427,0.244,-0.061
1638241847803,2021-11-30T10.10.47.803,2.460,0.427,0.244,-0.183
1638241847813,2021-11-30T10.10.47.813,2.470,0.427,0.122,-0.427
1638241847823,2021-11-30T10.10.47.823,2.480,0.305,0.244,-0.427
1638241847833,2021-11-30T10.10.47.833,2.490,0.488,0.305,-0.427
1638241847843,2021-11-30T10.10.47.843,2.500,0.610,0.122,-0.488
1638241847853,2021-11-30T10.10.47.853,2.510,0.610,0.244,-0.732
1638241847863,2021-11-30T10.10.47.863,2.520,0.671,0.244,-0.671
1638241847873,2021-11-30T10.10.47.873,2.530,0.732,0.244,-0.793
1638241847883,2021-11-30T10.10.47.883,2.540,0.732,0.244,-0.793
1638241847893,2021-11-30T10.10.47.893,2.550,0.732,0.244,-0.732
1638241847903,2021-11-30T10.10.47.903,2.560,0.732,0.183,-0.854
1638241847913,2021-11-30T10.10.47.913,2.570,0.671,0.305,-0.915
1638241847923,2021-11-30T10.10.47.923,2.580,0.549,0.366,-0.976
1638241847933,2021-11-30T10.10.47.933,2.590,0.610,0.366,-0.854
1638241847943,2021-11-30T10.10.47.943,2.600,0.610,0.305,-0.793
1638241847953,2021-11-30T10.10.47.953,2.610,0.610,0.366,-0.732
1638241847963,2021-11-30T10.10.47.963,2.620,0.610,0.244,-0.732
1638241847973,2021-11-30T10.10.47.973,2.630,0.488,0.122,-0.732
1638241847983,2021-11-30T10.10.47.983,2.640,0.427,0.305,-0.732
1638241847993,2021-11-30T10.10.47.993,2.650,0.366,0.366,-0.671
1638241848003,2021-11-30T10.10.48.003,2.660,0.366,0.305,-0.610
1638241848013,2021-11-30T10.10.48.013,2.670,0.427,0.244,-0.610
1638241848023,2021-11-30T10.10.48.023,2.680,0.427,0.244,-0.549
1638241848033,2021-11-30T10.10.48.033,2.690,0.488,0.305,-0.549
1638241848043,2021-11-30T10.10.48.043,2.700,0.549,0.183,-0.488
1638241848053,2021-11-30T10.10.48.053,2.710,0.488,0.244,-0.366
1638241848063,2021-11-30T10.10.48.063,2.720,0.366,0.244,-0.427
1638241848073,2021-11-30T10.10.48.073,2.730,0.305,0.305,-0.366
1638241848083,2021-11-30T10.10.48.083,2.740,0.366,0.366,-0.244
1638241848093,2021-11-30T10.10.48.093,2.750,0.366,0.305,-0.305
1638241848103,2021-11-30T10.10.48.103,2.760,0.305,0.305,-0.305
1638241848113,2021-11-30T10.10.48.113,2.770,0.305,0.305,-0.183
1638241848123,2021-11-30T10.10.48.123,2.780,0.305,0.305,-0.244
1638241848133,2021-11-30T10.10.48.133,2.790,0.305,0.305,-0.244
1638241848143,2021-11-30T10.10.48.143,2.800,0.305,0.305,-0.244
1638241848153,2021-11-30T10.10.48.153,2.810,0.305,0.305,-0.305
1638241848163,2021-11-30T10.10.48.163,2.820,0.244,0.305,-0.244
1638241848173,2021-11-30T10.10.48.173,2.830,0.183,0.305,-0.244
1638241848183,2021-11-30T10.10.48.183,2.840,0.183,0.305,-0.244
1638241848193,2021-11-30T10.10.48.193,2.850,0.122,0.366,-0.244
1638241848203,2021-11-30T10.10.48.203,2.860,0.061,0.366,-0.183
1638241848213,2021-11-30T10.10.48.213,2.870,0.061,0.305,-0.183
1638241848223,2021-11-30T10.10.48.223,2.880,0.122,0.305,-0.183
1638241848233,2021-11-30T10.10.48.233,2.890,0.305,0.183,-0.061
1638241848243,2021-11-30T10.10.48.243,2.900,0.305,0.244,0.000
1638241848253,2021-11-30T10.10.48.253,2.910,0.244,0.366,-0.061
1638241848263,2021-11-30T10.10.48.263,2.920,0.244,0.366,-0.122
1638241848273,2021-11-30T10.10.48.273,2.930,0.244,0.366,-0.122
1638241848283,2021-11-30T10.10.48.283,2.940,0.305,0.366,-0.122
1638241848293,2021-11-30T10.10.48.293,2.950,0.305,0.366,-0.122
1638241848303,2021-11-30T10.10.48.303,2.960,0.244,0.305,-0.122
1638241848313,2021-11-30T10.10.48.313,2.970,0.366,0.183,-0.061
1638241848323,2021-11-30T10.10.48.323,2.980,0.366,0.305,-0.061
1638241848333,2021-11-30T10.10.48.333,2.990,0.366,0.427,-0.122
1638241848343,2021-11-30T10.10.48.343,3.000,0.305,0.366,-0.061
1638241848353,2021-11-30T10.10.48.353,3.010,0.305,0.305,-0.061
1638241848363,2021-11-30T10.10.48.363,3.020,0.366,0.366,-0.183
1638241848373,2021-11-30T10.10.48.373,3.030,0.244,0.366,-0.122
1638241848383,2021-11-30T10.10.48.383,3.040,0.244,0.305,-0.183
1638241848393,2021-11-30T10.10.48.393,3.050,0.366,0.244,-0.183
1638241848403,2021-11-30T10.10.48.403,3.060,0.305,0.244,-0.183
1638241848413,2021-11-30T10.10.48.413,3.070,0.305,0.244,-0.305
1638241848423,2021-11-30T10.10.48.423,3.080,0.305,0.305,-0.183
1638241848433,2021-11-30T10.10.48.433,3.090,0.244,0.305,-0.183
1638241848443,2021-11-30T10.10.48.443,3.100,0.305,0.366,-0.122
1638241848453,2021-11-30T10.10.48.453,3.110,0.366,0.305,-0.122
1638241848463,2021-11-30T10.10.48.463,3.120,0.305,0.305,-0.183
1638241848473,2021-11-30T10.10.48.473,3.130,0.305,0.244,-0.061
1638241848483,2021-11-30T10.10.48.483,3.140,0.305,0.305,-0.122
1638241848493,2021-11-30T10.10.48.493,3.150,0.366,0.305,-0.122
1638241848503,2021-11-30T10.10.48.503,3.160,0.427,0.305,-0.122
1638241848513,2021-11-30T10.10.48.513,3.170,0.488,0.244,-0.244
1638241848523,2021-11-30T10.10.48.523,3.180,0.366,0.305,-0.244
1638241848533,2021-11-30T10.10.48.533,3.190,0.366,0.305,-0.305
1638241848543,2021-11-30T10.10.48.543,3.200,0.366,0.244,-0.366
1638241848553,2021-11-30T10.10.48.553,3.210,0.366,0.244,-0.427
1638241848563,2021-11-30T10.10.48.563,3.220,0.488,0.244,-0.488
1638241848573,2021-11-30T10.10.48.573,3.230,0.549,0.244,-0.549
1638241848583,2021-11-30T10.10.48.583,3.240,0.610,0.244,-0.549
1638241848593,2021-11-30T10.10.48.593,3.250,0.610,0.183,-0.488
1638241848603,2021-11-30T10.10.48.603,3.260,0.549,0.061,-0.488
1638241848613,2021-11-30T10.10.48.613,3.270,0.671,0.122,-0.366
1638241848623,2021-11-30T10.10.48.623,3.280,0.671,0.061,-0.427
1638241848633,2021-11-30T10.10.48.633,3.290,0.610,0.122,-0.488
1638241848643,2021-11-30T10.10.48.643,3.300,0.610,0.122,-0.427
1638241848653,2021-11-30T10.10.48.653,3.310,0.671,0.061,-0.366
1638241848663,2021-11-30T10.10.48.663,3.320,0.610,0.122,-0.366
1638241848673,2021-11-30T10.10.48.673,3.330,0.549,0.183,-0.427
1638241848683,2021-11-30T10.10.48.683,3.340,0.427,0.061,-0.427
1638241848693,2021-11-30T10.10.48.693,3.350,0.366,0.122,-0.427
1638241848703,2021-11-30T10.10.48.703,3.360,0.366,0.183,-0.488
1638241848713,2021-11-30T10.10.48.713,3.370,0.488,0.122,-0.549
1638241848723,2021-11-30T10.10.48.723,3.380,0.488,0.183,-0.610
1638241848733,2021-11-30T10.10.48.733,3.390,0.488,0.122,-0.732
1638241848743,2021-11-30T10.10.48.743,3.400,0.488,0.061,-0.671
1638241848753,2021-11-30T10.10.48.753,3.410,0.549,0.122,-0.610
1638241848763,2021-11-30T10.10.48.763,3.420,0.610,0.061,-0.671
1638241848773,2021-11-30T10.10.48.773,3.430,0.732,-0.061,-0.671
1638241848783,2021-11-30T10.10.48.783,3.440,0.732,-0.061,-0.671
1638241848793,2021-11-30T10.10.48.793,3.450,0.732,-0.061,-0.732
1638241848803,2021-11-30T10.10.48.803,3.460,0.671,-0.061,-0.549
1638241848813,2021-11-30T10.10.48.813,3.470,0.549,0.000,-0.488
1638241848823,2021-11-30T10.10.48.823,3.480,0.427,-0.061,-0.610
1638241848833,2021-11-30T10.10.48.833,3.490,0.244,0.061,-0.549
1638241848843,2021-11-30T10.10.48.843,3.500,0.366,0.000,-0.427
1638241848853,2021-11-30T10.10.48.853,3.510,0.244,0.000,-0.366
1638241848863,2021-11-30T10.10.48.863,3.520,0.244,0.061,-0.427
1638241848873,2021-11-30T10.10.48.873,3.530,0.244,0.061,-0.366
1638241848883,2021-11-30T10.10.48.883,3.540,0.305,-0.061,-0.366
1638241848893,2021-11-30T10.10.48.893,3.550,0.366,0.000,-0.427
1638241848903,2021-11-30T10.10.48.903,3.560,0.488,0.000,-0.305
1638241848913,2021-11-30T10.10.48.913,3.570,0.366,0.000,-0.305
1638241848923,2021-11-30T10.10.48.923,3.580,0.366,-0.061,-0.244
1638241848933,2021-11-30T10.10.48.933,3.590,0.305,0.000,-0.122
1638241848943,2021-11-30T10.10.48.943,3.600,0.183,0.000,-0.183
1638241848953,2021-11-30T10.10.48.953,3.610,0.244,-0.061,-0.244
1638241848963,2021-11-30T10.10.48.963,3.620,0.244,-0.061,-0.366
1638241848973,2021-11-30T10.10.48.973,3.630,0.183,0.000,-0.183
1638241848983,2021-11-30T10.10.48.983,3.640,0.183,-0.061,-0.183
1638241848993,2021-11-30T10.10.48.993,3.650,0.366,-0.061,-0.244
