,accuracy,f1_score_asymmetry,precision_asymmetry,recall_asymmetry
SVM (linear),0.7111436950146628,0.831191088260497,0.7111436950146628,1.0
Random Forest,0.6715542521994134,0.7996422182468694,0.7061611374407583,0.9216494845360824
Logistic Regression,0.6671554252199413,0.7975022301516503,0.7028301886792453,0.9216494845360824
MLP,0.6642228739002932,0.7927601809954751,0.7064516129032258,0.9030927835051547
Gradient Boosting,0.656891495601173,0.7876588021778584,0.7034035656401945,0.8948453608247423
XGBoost,0.6041055718475073,0.7413793103448276,0.6923076923076923,0.797938144329897
