Model,Accuracy,Precision,Recall,F1-Score,AUC,Confusion Matrix
Logistic Regression,0.8045774647887324,0.9829545454545454,0.7671840354767184,0.8617683686176837,0.8794322208956356,"[[111, 6], [105, 346]]"
Random Forest,0.9084507042253521,0.934640522875817,0.9512195121951219,0.9428571428571428,0.9470976178293252,"[[87, 30], [22, 429]]"
SVM (Linear Kernel),0.7605633802816901,1.0,0.6984478935698448,0.8224543080939948,0.8524267060852426,"[[117, 0], [136, 315]]"
SVM (RBF Kernel),0.7834507042253521,1.0,0.7272727272727273,0.8421052631578947,0.9132601815528646,"[[117, 0], [123, 328]]"
SVM (Polynomial Kernel),0.8116197183098591,0.955026455026455,0.8004434589800443,0.8709288299155609,0.8917505258968674,"[[100, 17], [90, 361]]"
XGBoost,0.9066901408450704,0.9344978165938864,0.9490022172949002,0.9416941694169417,0.9612257661038149,"[[87, 30], [23, 428]]"
KNN,0.9313380281690141,0.9577777777777777,0.9556541019955654,0.9567147613762487,0.959548581499801,"[[98, 19], [20, 431]]"
