Model,Accuracy,Precision,Recall,F1-Score,AUC,Confusion Matrix
Logistic Regression,0.7251461988304093,0.9107142857142857,0.7338129496402878,0.8127490039840638,0.8230665467625901,"[[22, 10], [37, 102]]"
Random Forest,0.8245614035087719,0.8758620689655172,0.9136690647482014,0.8943661971830986,0.8433003597122302,"[[14, 18], [12, 127]]"
SVM (Linear Kernel),0.6491228070175439,1.0,0.5683453237410072,0.7247706422018348,0.8358812949640287,"[[32, 0], [60, 79]]"
SVM (RBF Kernel),0.6900584795321637,0.9777777777777777,0.6330935251798561,0.7685589519650655,0.795638489208633,"[[30, 2], [51, 88]]"
SVM (Polynomial Kernel),0.783625730994152,0.8355263157894737,0.9136690647482014,0.872852233676976,0.8077787769784173,"[[7, 25], [12, 127]]"
XGBoost,0.8362573099415205,0.8827586206896552,0.920863309352518,0.9014084507042254,0.8882643884892086,"[[15, 17], [11, 128]]"
KNN,0.847953216374269,0.9185185185185185,0.8920863309352518,0.9051094890510949,0.8497077338129496,"[[21, 11], [15, 124]]"
