Model,Accuracy,Precision,Recall,F1-Score,AUC,Confusion Matrix
Logistic Regression,0.8309859154929577,0.97,0.8220338983050848,0.8899082568807339,0.886034604519774,"[[42, 6], [42, 194]]"
Random Forest,0.9049295774647887,0.9196787148594378,0.9703389830508474,0.9443298969072165,0.9479166666666666,"[[28, 20], [7, 229]]"
SVM (Linear Kernel),0.7746478873239436,1.0,0.7288135593220338,0.8431372549019608,0.8729696327683617,"[[48, 0], [64, 172]]"
SVM (RBF Kernel),0.7922535211267606,1.0,0.75,0.8571428571428571,0.9231108757062148,"[[48, 0], [59, 177]]"
SVM (Polynomial Kernel),0.823943661971831,0.9471153846153846,0.8347457627118644,0.8873873873873874,0.8903601694915254,"[[37, 11], [39, 197]]"
XGBoost,0.9084507042253521,0.9338842975206612,0.9576271186440678,0.9456066945606695,0.9582450564971751,"[[32, 16], [10, 226]]"
KNN,0.9049295774647887,0.9336099585062241,0.9533898305084746,0.9433962264150944,0.9552436440677966,"[[32, 16], [11, 225]]"
