source,feature,rfe_rank,rfe_selected,n_features_selected_target,selected_model_abs_coefficient_mean
Gyroscope + Accelerometer,gyroz_maxVal,1,True,50,0.735528108684394
Gyroscope + Accelerometer,gyrox_cvVal,1,True,50,0.552944278824974
Gyroscope + Accelerometer,accx_minVal,1,True,50,0.4975313834713247
Gyroscope + Accelerometer,gyroz_peakToPeak,1,True,50,0.4972616486511745
Gyroscope + Accelerometer,accz_meanVal,1,True,50,0.48396496918116094
Gyroscope + Accelerometer,gyroz_cvVal,1,True,50,0.42810903257714167
Gyroscope + Accelerometer,gyroy_minVal,1,True,50,0.41202529100618596
Gyroscope + Accelerometer,gyroz_varVal,1,True,50,0.4072831003872753
Gyroscope + Accelerometer,gyroz_psdMean,1,True,50,0.4034119515538908
Gyroscope + Accelerometer,gyroy_medianFreq,1,True,50,0.3874544853079053
Gyroscope + Accelerometer,gyroz_domAmp,1,True,50,0.37816252788359156
Gyroscope + Accelerometer,gyroz_minVal,1,True,50,0.35251887425331496
Gyroscope + Accelerometer,accy_harmonicRatio,1,True,50,0.34581833088982733
Gyroscope + Accelerometer,accy_domFreq,1,True,50,0.32800284799173135
Gyroscope + Accelerometer,gyroz_medianFreq,1,True,50,0.3167460634083646
Gyroscope + Accelerometer,accx_peakToPeak,1,True,50,0.30767582468717247
Gyroscope + Accelerometer,accx_specEntropy,1,True,50,0.307174375077038
Gyroscope + Accelerometer,gyroy_meanVal,1,True,50,0.2897469896156834
Gyroscope + Accelerometer,accy_maxVal,1,True,50,0.2883962520090448
Gyroscope + Accelerometer,gyroz_psdAsymmetry,1,True,50,0.28350035697053555
Gyroscope + Accelerometer,gyroz_domFreq,1,True,50,0.2827204180505228
Gyroscope + Accelerometer,accz_maxVal,1,True,50,0.27810108879742174
Gyroscope + Accelerometer,gyroy_maxVal,1,True,50,0.2767897924914247
Gyroscope + Accelerometer,gyrox_meanVal,1,True,50,0.2725680336903559
Gyroscope + Accelerometer,accz_harmonicRatio,1,True,50,0.2658075844524534
Gyroscope + Accelerometer,accy_rmsVal,1,True,50,0.2589731542243812
Gyroscope + Accelerometer,gyroz_specEntropy,1,True,50,0.25592997362474534
Gyroscope + Accelerometer,accz_minVal,1,True,50,0.24501876266970601
Gyroscope + Accelerometer,gyroz_mavVal,1,True,50,0.23925015080449727
Gyroscope + Accelerometer,gyrox_domFreq,1,True,50,0.23739375687638462
Gyroscope + Accelerometer,accz_rmsVal,1,True,50,0.23610605215984037
Gyroscope + Accelerometer,gyrox_maxVal,1,True,50,0.2321582461431653
Gyroscope + Accelerometer,gyroz_sdVal,1,True,50,0.2281659241447154
Gyroscope + Accelerometer,gyrox_mavVal,1,True,50,0.2274392841977292
Gyroscope + Accelerometer,gyroz_rmsVal,1,True,50,0.22633150094750398
Gyroscope + Accelerometer,gyrox_specEntropy,1,True,50,0.22182927742477476
Gyroscope + Accelerometer,gyroz_meanVal,1,True,50,0.21192374145573045
Gyroscope + Accelerometer,gyrox_harmonicRatio,1,True,50,0.21026280367128006
Gyroscope + Accelerometer,accx_harmonicRatio,1,True,50,0.2098539446833109
Gyroscope + Accelerometer,gyroy_cvVal,1,True,50,0.2084203245957453
Gyroscope + Accelerometer,gyroy_specEntropy,1,True,50,0.20186613830434805
Gyroscope + Accelerometer,gyroy_domFreq,1,True,50,0.1991702892593099
Gyroscope + Accelerometer,gyrox_rmsVal,1,True,50,0.19578263014414019
Gyroscope + Accelerometer,accz_domFreq,1,True,50,0.19268754822309941
Gyroscope + Accelerometer,accx_varVal,1,True,50,0.190886349814983
Gyroscope + Accelerometer,accx_meanFreq,1,True,50,0.18979573296271549
Gyroscope + Accelerometer,accx_psdMean,1,True,50,0.18578883727650708
Gyroscope + Accelerometer,accy_peakToPeak,1,True,50,0.17712879391402417
Gyroscope + Accelerometer,accy_meanVal,1,True,50,0.17543763376149105
Gyroscope + Accelerometer,gyroz_meanFreq,1,True,50,0.16226303529308433
Gyroscope + Accelerometer,accx_maxVal,2,False,50,
Gyroscope + Accelerometer,accy_domAmp,3,False,50,
Gyroscope + Accelerometer,gyrox_domAmp,4,False,50,
Gyroscope + Accelerometer,gyroy_psdMean,5,False,50,
Gyroscope + Accelerometer,accz_specEntropy,6,False,50,
Gyroscope + Accelerometer,accz_mavVal,7,False,50,
Gyroscope + Accelerometer,accz_cvVal,8,False,50,
Gyroscope + Accelerometer,accx_rmsVal,9,False,50,
Gyroscope + Accelerometer,gyrox_peakToPeak,10,False,50,
Gyroscope + Accelerometer,accy_medianFreq,11,False,50,
Gyroscope + Accelerometer,accy_mavVal,12,False,50,
Gyroscope + Accelerometer,accy_cvVal,13,False,50,
Gyroscope + Accelerometer,accx_meanVal,14,False,50,
Gyroscope + Accelerometer,gyroy_peakToPeak,15,False,50,
Gyroscope + Accelerometer,accx_domFreq,16,False,50,
Gyroscope + Accelerometer,accy_sdVal,17,False,50,
Gyroscope + Accelerometer,accx_mavVal,18,False,50,
Gyroscope + Accelerometer,gyroy_mavVal,19,False,50,
Gyroscope + Accelerometer,gyrox_meanFreq,20,False,50,
Gyroscope + Accelerometer,accy_specEntropy,21,False,50,
Gyroscope + Accelerometer,accz_sdVal,22,False,50,
Gyroscope + Accelerometer,accx_medianFreq,23,False,50,
Gyroscope + Accelerometer,accz_peakToPeak,24,False,50,
Gyroscope + Accelerometer,accy_minVal,25,False,50,
Gyroscope + Accelerometer,gyroy_harmonicRatio,26,False,50,
Gyroscope + Accelerometer,gyroy_meanFreq,27,False,50,
Gyroscope + Accelerometer,gyrox_sdVal,28,False,50,
Gyroscope + Accelerometer,gyroy_varVal,29,False,50,
Gyroscope + Accelerometer,accz_varVal,30,False,50,
Gyroscope + Accelerometer,gyrox_medianFreq,31,False,50,
Gyroscope + Accelerometer,accy_psdMean,32,False,50,
Gyroscope + Accelerometer,accz_medianFreq,33,False,50,
Gyroscope + Accelerometer,gyrox_minVal,34,False,50,
Gyroscope + Accelerometer,gyroy_rmsVal,35,False,50,
Gyroscope + Accelerometer,accz_psdMean,36,False,50,
Gyroscope + Accelerometer,gyrox_psdAsymmetry,37,False,50,
Gyroscope + Accelerometer,accz_domAmp,38,False,50,
Gyroscope + Accelerometer,gyroy_sdVal,39,False,50,
Gyroscope + Accelerometer,accx_sdVal,40,False,50,
Gyroscope + Accelerometer,accx_domAmp,41,False,50,
Gyroscope + Accelerometer,gyroy_domAmp,42,False,50,
Gyroscope + Accelerometer,accx_cvVal,43,False,50,
Gyroscope + Accelerometer,accy_meanFreq,44,False,50,
Gyroscope + Accelerometer,gyrox_varVal,45,False,50,
Gyroscope + Accelerometer,gyroy_psdAsymmetry,46,False,50,
Gyroscope + Accelerometer,accy_varVal,47,False,50,
Gyroscope + Accelerometer,accz_meanFreq,48,False,50,
Gyroscope + Accelerometer,gyroz_harmonicRatio,49,False,50,
Gyroscope + Accelerometer,accz_psdAsymmetry,50,False,50,
Gyroscope + Accelerometer,accy_psdAsymmetry,51,False,50,
Gyroscope + Accelerometer,accx_psdAsymmetry,52,False,50,
Gyroscope + Accelerometer,gyrox_psdMean,53,False,50,
