source,feature,rfe_rank,rfe_selected,n_features_selected_target,selected_model_abs_coefficient_mean
Gyroscope + EMG,gyroz_maxVal,1,True,5,1.146403415589656
Gyroscope + EMG,gyroz_varVal,1,True,5,0.9294795731196901
Gyroscope + EMG,BFinter_cvVal,1,True,5,0.8628263415871903
Gyroscope + EMG,gyroz_domAmp,1,True,5,0.8565493253845746
Gyroscope + EMG,MGinter_cvVal,1,True,5,0.5056230438195782
Gyroscope + EMG,GMinter_psdAsymmetry,2,False,5,
Gyroscope + EMG,gyrox_domFreq,3,False,5,
Gyroscope + EMG,gyroy_minVal,4,False,5,
Gyroscope + EMG,gyrox_cvVal,5,False,5,
Gyroscope + EMG,MGinter_psdAsymmetry,6,False,5,
Gyroscope + EMG,gyroz_cvVal,7,False,5,
Gyroscope + EMG,BFinter_logDetector,8,False,5,
Gyroscope + EMG,TAinter_harmonicRatio,9,False,5,
Gyroscope + EMG,gyroz_psdMean,10,False,5,
Gyroscope + EMG,PLinter_cvVal,11,False,5,
Gyroscope + EMG,gyroz_meanFreq,12,False,5,
Gyroscope + EMG,RFinter_meanFreq,13,False,5,
Gyroscope + EMG,gyrox_harmonicRatio,14,False,5,
Gyroscope + EMG,gyroz_peakToPeak,15,False,5,
Gyroscope + EMG,gyroz_meanVal,16,False,5,
Gyroscope + EMG,gyroy_peakToPeak,17,False,5,
Gyroscope + EMG,MGinter_meanFreq,18,False,5,
Gyroscope + EMG,BFinter_waveformLength,19,False,5,
Gyroscope + EMG,RFinter_minVal,20,False,5,
Gyroscope + EMG,gyroz_sdVal,21,False,5,
Gyroscope + EMG,gyroz_specEntropy,22,False,5,
Gyroscope + EMG,gyrox_maxVal,23,False,5,
Gyroscope + EMG,gyrox_meanVal,24,False,5,
Gyroscope + EMG,GMinter_meanFreq,25,False,5,
Gyroscope + EMG,GMinter_domFreq,26,False,5,
Gyroscope + EMG,gyroz_mavVal,27,False,5,
Gyroscope + EMG,RFinter_psdAsymmetry,28,False,5,
Gyroscope + EMG,gyroz_harmonicRatio,29,False,5,
Gyroscope + EMG,BFinter_mavVal,30,False,5,
Gyroscope + EMG,MGinter_minVal,31,False,5,
Gyroscope + EMG,gyroz_rmsVal,32,False,5,
Gyroscope + EMG,gyrox_mavVal,33,False,5,
Gyroscope + EMG,gyroy_cvVal,34,False,5,
Gyroscope + EMG,gyroy_meanVal,35,False,5,
Gyroscope + EMG,gyroy_rmsVal,36,False,5,
Gyroscope + EMG,TAinter_psdAsymmetry,37,False,5,
Gyroscope + EMG,GMinter_minVal,38,False,5,
Gyroscope + EMG,MGinter_harmonicRatio,39,False,5,
Gyroscope + EMG,TAinter_cvVal,40,False,5,
Gyroscope + EMG,TAinter_minVal,41,False,5,
Gyroscope + EMG,PLinter_psdMean,42,False,5,
Gyroscope + EMG,BFinter_minVal,43,False,5,
Gyroscope + EMG,PLinter_meanPowerFreq,44,False,5,
Gyroscope + EMG,MGinter_medianFreq,45,False,5,
Gyroscope + EMG,gyroz_domFreq,46,False,5,
Gyroscope + EMG,gyroz_minVal,47,False,5,
Gyroscope + EMG,RFinter_cvVal,48,False,5,
Gyroscope + EMG,gyrox_specEntropy,49,False,5,
Gyroscope + EMG,BFinter_meanFreq,50,False,5,
Gyroscope + EMG,RFinter_domFreq,51,False,5,
Gyroscope + EMG,GMinter_harmonicRatio,52,False,5,
Gyroscope + EMG,PLinter_varVal,53,False,5,
Gyroscope + EMG,GMinter_cvVal,54,False,5,
Gyroscope + EMG,gyroz_medianFreq,55,False,5,
Gyroscope + EMG,gyroy_domFreq,56,False,5,
Gyroscope + EMG,gyrox_peakToPeak,57,False,5,
Gyroscope + EMG,gyroz_psdAsymmetry,58,False,5,
Gyroscope + EMG,MGinter_domFreq,59,False,5,
Gyroscope + EMG,PLinter_maxVal,60,False,5,
Gyroscope + EMG,gyroy_psdMean,61,False,5,
Gyroscope + EMG,gyroy_medianFreq,62,False,5,
Gyroscope + EMG,gyroy_harmonicRatio,63,False,5,
Gyroscope + EMG,RFinter_medianFreq,64,False,5,
Gyroscope + EMG,gyrox_rmsVal,65,False,5,
Gyroscope + EMG,GMinter_cwtMean,66,False,5,
Gyroscope + EMG,gyroy_specEntropy,67,False,5,
Gyroscope + EMG,PLinter_harmonicRatio,68,False,5,
Gyroscope + EMG,PLinter_psdAsymmetry,69,False,5,
Gyroscope + EMG,GMinter_medianFreq,70,False,5,
Gyroscope + EMG,PLinter_peakToPeak,71,False,5,
Gyroscope + EMG,PLinter_cwtMean,72,False,5,
Gyroscope + EMG,gyrox_sdVal,73,False,5,
Gyroscope + EMG,BFinter_psdAsymmetry,74,False,5,
Gyroscope + EMG,gyroy_sdVal,75,False,5,
Gyroscope + EMG,PLinter_domFreq,76,False,5,
Gyroscope + EMG,gyrox_medianFreq,77,False,5,
Gyroscope + EMG,MGinter_cwtMean,78,False,5,
Gyroscope + EMG,gyroy_domAmp,79,False,5,
Gyroscope + EMG,gyrox_domAmp,80,False,5,
Gyroscope + EMG,PLinter_minVal,81,False,5,
Gyroscope + EMG,BFinter_specEntropy,82,False,5,
Gyroscope + EMG,GMinter_logDetector,83,False,5,
Gyroscope + EMG,TAinter_domAmp,84,False,5,
Gyroscope + EMG,gyroy_meanFreq,85,False,5,
Gyroscope + EMG,RFinter_harmonicRatio,86,False,5,
Gyroscope + EMG,gyroy_mavVal,87,False,5,
Gyroscope + EMG,GMinter_peakToPeak,88,False,5,
Gyroscope + EMG,BFinter_harmonicRatio,89,False,5,
Gyroscope + EMG,gyroy_varVal,90,False,5,
Gyroscope + EMG,GMinter_emdEnergy,91,False,5,
Gyroscope + EMG,TAinter_waveformLength,92,False,5,
Gyroscope + EMG,RFinter_specEntropy,93,False,5,
Gyroscope + EMG,PLinter_emdEnergy,94,False,5,
Gyroscope + EMG,gyrox_minVal,95,False,5,
Gyroscope + EMG,gyrox_psdAsymmetry,96,False,5,
Gyroscope + EMG,gyrox_varVal,97,False,5,
Gyroscope + EMG,BFinter_domFreq,98,False,5,
Gyroscope + EMG,PLinter_specEntropy,99,False,5,
Gyroscope + EMG,TAinter_specEntropy,100,False,5,
Gyroscope + EMG,BFinter_peakToPeak,101,False,5,
Gyroscope + EMG,GMinter_maxVal,102,False,5,
Gyroscope + EMG,gyrox_psdMean,103,False,5,
Gyroscope + EMG,GMinter_psdMean,104,False,5,
Gyroscope + EMG,BFinter_varVal,105,False,5,
Gyroscope + EMG,PLinter_sdVal,106,False,5,
Gyroscope + EMG,TAinter_medianFreq,107,False,5,
Gyroscope + EMG,GMinter_meanPowerFreq,108,False,5,
Gyroscope + EMG,GMinter_varVal,109,False,5,
Gyroscope + EMG,gyroy_psdAsymmetry,110,False,5,
Gyroscope + EMG,BFinter_meanVal,111,False,5,
Gyroscope + EMG,BFinter_cwtMean,112,False,5,
Gyroscope + EMG,GMinter_sdVal,113,False,5,
Gyroscope + EMG,RFinter_peakToPeak,114,False,5,
Gyroscope + EMG,PLinter_meanFreq,115,False,5,
Gyroscope + EMG,gyrox_meanFreq,116,False,5,
Gyroscope + EMG,PLinter_dwtEnergy,117,False,5,
Gyroscope + EMG,MGinter_specEntropy,118,False,5,
Gyroscope + EMG,GMinter_rmsVal,119,False,5,
Gyroscope + EMG,RFinter_maxVal,120,False,5,
Gyroscope + EMG,MGinter_waveformLength,121,False,5,
Gyroscope + EMG,RFinter_domAmp,122,False,5,
Gyroscope + EMG,PLinter_rmsVal,123,False,5,
Gyroscope + EMG,RFinter_waveformLength,124,False,5,
Gyroscope + EMG,GMinter_specEntropy,125,False,5,
Gyroscope + EMG,GMinter_dwtEnergy,126,False,5,
Gyroscope + EMG,BFinter_domAmp,127,False,5,
Gyroscope + EMG,PLinter_medianFreq,128,False,5,
Gyroscope + EMG,BFinter_maxVal,129,False,5,
Gyroscope + EMG,TAinter_dwtEnergy,130,False,5,
Gyroscope + EMG,GMinter_mavVal,131,False,5,
Gyroscope + EMG,MGinter_varVal,132,False,5,
Gyroscope + EMG,TAinter_psdMean,133,False,5,
Gyroscope + EMG,TAinter_meanPowerFreq,134,False,5,
Gyroscope + EMG,gyroy_maxVal,135,False,5,
Gyroscope + EMG,MGinter_dwtEnergy,136,False,5,
Gyroscope + EMG,RFinter_cwtMean,137,False,5,
Gyroscope + EMG,BFinter_dwtEnergy,138,False,5,
Gyroscope + EMG,TAinter_sdVal,139,False,5,
Gyroscope + EMG,TAinter_domFreq,140,False,5,
Gyroscope + EMG,TAinter_meanFreq,141,False,5,
Gyroscope + EMG,PLinter_mavVal,142,False,5,
Gyroscope + EMG,MGinter_sdVal,143,False,5,
Gyroscope + EMG,TAinter_rmsVal,144,False,5,
Gyroscope + EMG,MGinter_rmsVal,145,False,5,
Gyroscope + EMG,MGinter_meanPowerFreq,146,False,5,
Gyroscope + EMG,PLinter_meanVal,147,False,5,
Gyroscope + EMG,MGinter_psdMean,148,False,5,
Gyroscope + EMG,TAinter_emdEnergy,149,False,5,
Gyroscope + EMG,MGinter_mavVal,150,False,5,
Gyroscope + EMG,TAinter_mavVal,151,False,5,
Gyroscope + EMG,MGinter_meanVal,152,False,5,
Gyroscope + EMG,BFinter_sdVal,153,False,5,
Gyroscope + EMG,GMinter_domAmp,154,False,5,
Gyroscope + EMG,RFinter_logDetector,155,False,5,
Gyroscope + EMG,RFinter_varVal,156,False,5,
Gyroscope + EMG,MGinter_domAmp,157,False,5,
Gyroscope + EMG,TAinter_peakToPeak,158,False,5,
Gyroscope + EMG,BFinter_medianFreq,159,False,5,
Gyroscope + EMG,MGinter_peakToPeak,160,False,5,
Gyroscope + EMG,TAinter_cwtMean,161,False,5,
Gyroscope + EMG,MGinter_emdEnergy,162,False,5,
Gyroscope + EMG,RFinter_emdEnergy,163,False,5,
Gyroscope + EMG,PLinter_waveformLength,164,False,5,
Gyroscope + EMG,RFinter_mavVal,165,False,5,
Gyroscope + EMG,PLinter_logDetector,166,False,5,
Gyroscope + EMG,RFinter_sdVal,167,False,5,
Gyroscope + EMG,BFinter_psdMean,168,False,5,
Gyroscope + EMG,TAinter_varVal,169,False,5,
Gyroscope + EMG,TAinter_logDetector,170,False,5,
Gyroscope + EMG,BFinter_meanPowerFreq,171,False,5,
Gyroscope + EMG,GMinter_waveformLength,172,False,5,
Gyroscope + EMG,TAinter_meanVal,173,False,5,
Gyroscope + EMG,RFinter_rmsVal,174,False,5,
Gyroscope + EMG,GMinter_meanVal,175,False,5,
Gyroscope + EMG,RFinter_meanVal,176,False,5,
Gyroscope + EMG,MGinter_logDetector,177,False,5,
Gyroscope + EMG,MGinter_maxVal,178,False,5,
Gyroscope + EMG,BFinter_rmsVal,179,False,5,
Gyroscope + EMG,BFinter_emdEnergy,180,False,5,
Gyroscope + EMG,RFinter_psdMean,181,False,5,
Gyroscope + EMG,RFinter_meanPowerFreq,182,False,5,
Gyroscope + EMG,TAinter_maxVal,183,False,5,
Gyroscope + EMG,PLinter_domAmp,184,False,5,
Gyroscope + EMG,RFinter_dwtEnergy,185,False,5,
