source,feature,rfe_rank,rfe_selected,n_features_selected_target,selected_model_abs_coefficient_mean
Gyroscope + Accelerometer,gyroz_maxVal,1,True,10,1.018432822054742
Gyroscope + Accelerometer,gyroz_peakToPeak,1,True,10,0.7278084141191684
Gyroscope + Accelerometer,gyroz_cvVal,1,True,10,0.6235374195363977
Gyroscope + Accelerometer,gyrox_specEntropy,1,True,10,0.5901668257156117
Gyroscope + Accelerometer,gyroz_varVal,1,True,10,0.5763144015112004
Gyroscope + Accelerometer,gyroz_psdMean,1,True,10,0.570259895848372
Gyroscope + Accelerometer,gyroz_domAmp,1,True,10,0.5272561965859089
Gyroscope + Accelerometer,gyroy_minVal,1,True,10,0.5205088129765882
Gyroscope + Accelerometer,accy_harmonicRatio,1,True,10,0.5065564745429466
Gyroscope + Accelerometer,gyrox_cvVal,1,True,10,0.4891121891312605
Gyroscope + Accelerometer,accz_meanVal,2,False,10,
Gyroscope + Accelerometer,gyroz_meanFreq,3,False,10,
Gyroscope + Accelerometer,accz_rmsVal,4,False,10,
Gyroscope + Accelerometer,accx_minVal,5,False,10,
Gyroscope + Accelerometer,gyroz_minVal,6,False,10,
Gyroscope + Accelerometer,accx_specEntropy,7,False,10,
Gyroscope + Accelerometer,gyroy_medianFreq,8,False,10,
Gyroscope + Accelerometer,accy_rmsVal,9,False,10,
Gyroscope + Accelerometer,accy_domFreq,10,False,10,
Gyroscope + Accelerometer,gyroz_medianFreq,11,False,10,
Gyroscope + Accelerometer,gyroz_domFreq,12,False,10,
Gyroscope + Accelerometer,gyrox_domFreq,13,False,10,
Gyroscope + Accelerometer,gyroz_sdVal,14,False,10,
Gyroscope + Accelerometer,accx_harmonicRatio,15,False,10,
Gyroscope + Accelerometer,gyroz_rmsVal,16,False,10,
Gyroscope + Accelerometer,gyroz_meanVal,17,False,10,
Gyroscope + Accelerometer,gyrox_mavVal,18,False,10,
Gyroscope + Accelerometer,gyroz_specEntropy,19,False,10,
Gyroscope + Accelerometer,accy_maxVal,20,False,10,
Gyroscope + Accelerometer,accy_meanVal,21,False,10,
Gyroscope + Accelerometer,gyroy_meanVal,22,False,10,
Gyroscope + Accelerometer,gyroy_maxVal,23,False,10,
Gyroscope + Accelerometer,accz_minVal,24,False,10,
Gyroscope + Accelerometer,accz_maxVal,25,False,10,
Gyroscope + Accelerometer,gyroz_psdAsymmetry,26,False,10,
Gyroscope + Accelerometer,gyroz_mavVal,27,False,10,
Gyroscope + Accelerometer,gyrox_meanVal,28,False,10,
Gyroscope + Accelerometer,accx_peakToPeak,29,False,10,
Gyroscope + Accelerometer,gyrox_maxVal,30,False,10,
Gyroscope + Accelerometer,accz_domFreq,31,False,10,
Gyroscope + Accelerometer,accz_harmonicRatio,32,False,10,
Gyroscope + Accelerometer,accx_psdMean,33,False,10,
Gyroscope + Accelerometer,accy_peakToPeak,34,False,10,
Gyroscope + Accelerometer,accx_meanFreq,35,False,10,
Gyroscope + Accelerometer,gyroy_specEntropy,36,False,10,
Gyroscope + Accelerometer,gyrox_rmsVal,37,False,10,
Gyroscope + Accelerometer,accx_varVal,38,False,10,
Gyroscope + Accelerometer,gyroy_cvVal,39,False,10,
Gyroscope + Accelerometer,gyrox_harmonicRatio,40,False,10,
Gyroscope + Accelerometer,gyroy_domFreq,41,False,10,
Gyroscope + Accelerometer,accx_maxVal,42,False,10,
Gyroscope + Accelerometer,accy_domAmp,43,False,10,
Gyroscope + Accelerometer,gyrox_domAmp,44,False,10,
Gyroscope + Accelerometer,gyroy_psdMean,45,False,10,
Gyroscope + Accelerometer,accz_specEntropy,46,False,10,
Gyroscope + Accelerometer,accz_mavVal,47,False,10,
Gyroscope + Accelerometer,accz_cvVal,48,False,10,
Gyroscope + Accelerometer,accx_rmsVal,49,False,10,
Gyroscope + Accelerometer,gyrox_peakToPeak,50,False,10,
Gyroscope + Accelerometer,accy_medianFreq,51,False,10,
Gyroscope + Accelerometer,accy_mavVal,52,False,10,
Gyroscope + Accelerometer,accy_cvVal,53,False,10,
Gyroscope + Accelerometer,accx_meanVal,54,False,10,
Gyroscope + Accelerometer,gyroy_peakToPeak,55,False,10,
Gyroscope + Accelerometer,accx_domFreq,56,False,10,
Gyroscope + Accelerometer,accy_sdVal,57,False,10,
Gyroscope + Accelerometer,accx_mavVal,58,False,10,
Gyroscope + Accelerometer,gyroy_mavVal,59,False,10,
Gyroscope + Accelerometer,gyrox_meanFreq,60,False,10,
Gyroscope + Accelerometer,accy_specEntropy,61,False,10,
Gyroscope + Accelerometer,accz_sdVal,62,False,10,
Gyroscope + Accelerometer,accx_medianFreq,63,False,10,
Gyroscope + Accelerometer,accz_peakToPeak,64,False,10,
Gyroscope + Accelerometer,accy_minVal,65,False,10,
Gyroscope + Accelerometer,gyroy_harmonicRatio,66,False,10,
Gyroscope + Accelerometer,gyroy_meanFreq,67,False,10,
Gyroscope + Accelerometer,gyrox_sdVal,68,False,10,
Gyroscope + Accelerometer,gyroy_varVal,69,False,10,
Gyroscope + Accelerometer,accz_varVal,70,False,10,
