source,feature,rfe_rank,rfe_selected,n_features_selected_target,selected_model_abs_coefficient_mean
Gyroscope + Accelerometer,gyroz_maxVal,1,True,30,0.8505597107742989
Gyroscope + Accelerometer,gyroz_peakToPeak,1,True,30,0.5594512661462959
Gyroscope + Accelerometer,gyrox_cvVal,1,True,30,0.534962582235415
Gyroscope + Accelerometer,accz_meanVal,1,True,30,0.531515943243758
Gyroscope + Accelerometer,accx_minVal,1,True,30,0.48943086810582054
Gyroscope + Accelerometer,gyroz_varVal,1,True,30,0.4752331192828547
Gyroscope + Accelerometer,gyroz_psdMean,1,True,30,0.47046719277651466
Gyroscope + Accelerometer,gyroz_domAmp,1,True,30,0.45077585935757764
Gyroscope + Accelerometer,accx_specEntropy,1,True,30,0.4436882922524655
Gyroscope + Accelerometer,gyroz_cvVal,1,True,30,0.4310730972519947
Gyroscope + Accelerometer,gyroy_minVal,1,True,30,0.4079061907192835
Gyroscope + Accelerometer,accy_harmonicRatio,1,True,30,0.40473818827082914
Gyroscope + Accelerometer,gyroz_minVal,1,True,30,0.38479458843247727
Gyroscope + Accelerometer,gyroy_medianFreq,1,True,30,0.37029627491037553
Gyroscope + Accelerometer,accz_rmsVal,1,True,30,0.3349044037718638
Gyroscope + Accelerometer,gyroz_medianFreq,1,True,30,0.3214789050780706
Gyroscope + Accelerometer,gyrox_specEntropy,1,True,30,0.29630955678003285
Gyroscope + Accelerometer,gyroz_specEntropy,1,True,30,0.2947257450310666
Gyroscope + Accelerometer,accy_domFreq,1,True,30,0.2935840333692543
Gyroscope + Accelerometer,gyrox_mavVal,1,True,30,0.2929730277137174
Gyroscope + Accelerometer,accx_harmonicRatio,1,True,30,0.29227824577406475
Gyroscope + Accelerometer,accy_maxVal,1,True,30,0.2907114089108294
Gyroscope + Accelerometer,gyrox_domFreq,1,True,30,0.2890434558154756
Gyroscope + Accelerometer,gyroz_meanVal,1,True,30,0.27522664945098957
Gyroscope + Accelerometer,gyroz_domFreq,1,True,30,0.258714396573445
Gyroscope + Accelerometer,accy_rmsVal,1,True,30,0.2566985339596108
Gyroscope + Accelerometer,gyroz_sdVal,1,True,30,0.24367405673416165
Gyroscope + Accelerometer,gyroz_rmsVal,1,True,30,0.24153374249195714
Gyroscope + Accelerometer,gyroz_meanFreq,1,True,30,0.2332515205716745
Gyroscope + Accelerometer,accy_meanVal,1,True,30,0.22746469603966446
Gyroscope + Accelerometer,gyroy_meanVal,2,False,30,
Gyroscope + Accelerometer,gyroy_maxVal,3,False,30,
Gyroscope + Accelerometer,accz_minVal,4,False,30,
Gyroscope + Accelerometer,accz_maxVal,5,False,30,
Gyroscope + Accelerometer,gyroz_psdAsymmetry,6,False,30,
Gyroscope + Accelerometer,gyroz_mavVal,7,False,30,
Gyroscope + Accelerometer,gyrox_meanVal,8,False,30,
Gyroscope + Accelerometer,accx_peakToPeak,9,False,30,
Gyroscope + Accelerometer,gyrox_maxVal,10,False,30,
Gyroscope + Accelerometer,accz_domFreq,11,False,30,
Gyroscope + Accelerometer,accz_harmonicRatio,12,False,30,
Gyroscope + Accelerometer,accx_psdMean,13,False,30,
