feature,anova_f_score,p_value,anova_rank
accx_rmsVal,50.55030640671263,2.3595387689896196e-13,1
accx_psdMean,47.11213349826093,8.379555383621234e-13,2
accx_sdVal,44.348548031576286,2.421490985626061e-12,3
accx_mavVal,41.73509841872712,6.859365479851645e-12,4
accx_meanVal,41.725973007861704,6.8848138297416996e-12,5
accx_cvVal,33.87154032026746,2.0228520985933302e-10,6
accx_varVal,28.87756891987487,2.1823651921924956e-09,7
accx_maxVal,25.29098166350289,1.37359472320834e-08,8
accx_harmonicRatio,24.96054219117277,1.637298177526479e-08,9
accx_peakToPeak,22.85456086189903,5.14726400347132e-08,10
accy_sdVal,14.573300415371857,7.729408009863686e-06,11
accx_meanFreq,12.763407779191843,2.62708058704691e-05,12
MGinter_minVal,10.973892688389988,9.294900828747676e-05,13
BFinter_cvVal,10.180449349331417,0.00016579462908858312,14
accy_rmsVal,10.086488746521766,0.0001776943319161264,15
accx_minVal,10.041712023781361,0.0001836728436440467,16
PLinter_minVal,9.980836148757154,0.00019213666732946865,17
accx_specEntropy,9.488589750181603,0.00027730846135489524,18
MGinter_cvVal,9.451555728935244,0.0002851250556458693,19
accy_domFreq,8.939330543933053,0.00041997978575020574,20
accy_maxVal,8.87446045776815,0.00044125836607399564,21
GMinter_psdAsymmetry,8.590070850202492,0.0005485738695242438,22
accy_mavVal,8.367773770449615,0.0006510906584998753,23
accz_maxVal,7.794478715863644,0.001017706292543706,24
accz_rmsVal,7.596739564327775,0.0011891624651806697,25
TAinter_minVal,6.986928741202099,0.0019325409211342764,26
accy_varVal,6.72492481751795,0.0023869942739019466,27
accz_sdVal,6.169158700021535,0.003755730107849882,28
BFinter_psdAsymmetry,5.8456377425156125,0.004906121957474693,29
accz_peakToPeak,5.731667279389723,0.005393603534857084,30
accy_psdMean,5.4617922221317405,0.006758438900598564,31
accz_mavVal,5.403454116913385,0.007097837077238874,32
accy_cvVal,4.97927404634611,0.01016158815194433,33
accz_psdMean,4.5244462275665915,0.015006019635676169,34
accz_varVal,4.363617192159172,0.01724609052202817,35
accy_domAmp,3.396086260645934,0.0404168712411561,36
GMinter_meanFreq,3.2678330959421475,0.0453348443189831,37
accy_peakToPeak,3.105739262109792,0.0524504055103515,38
BFinter_waveformLength,3.0289381350653652,0.05621629193232272,39
RFinter_waveformLength,2.776583244590486,0.0706851799354351,40
RFinter_sdVal,2.4867101664291735,0.09216745918408735,41
GMinter_waveformLength,2.4252626930055747,0.09753189986558843,42
RFinter_rmsVal,2.3608466664815952,0.10350353029110519,43
TAinter_cvVal,2.3434286031836433,0.10518238553030981,44
PLinter_cvVal,2.3013236187475665,0.10935815825145295,45
MGinter_harmonicRatio,2.2933213009333224,0.11017100362205993,46
accz_minVal,2.2442591186327547,0.11529317633987525,47
RFinter_peakToPeak,2.239146290466136,0.11584096296978384,48
RFinter_emdEnergy,2.2259847756551783,0.11726351169343165,49
TAinter_domAmp,2.225888974434655,0.1172739322990568,50
