sensor_combination,feature_set,model,validation_method,n_samples,n_features,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc
EMG,All features,Extra Trees,Leave-One-Subject-Out,60,138,0.7333333333333333,0.6666666666666666,0.6888888888888888,0.6666666666666666,0.6661616161616162,0.7117424242424242,0.5659684799706786
Gyroscope + EMG,All features,RBF SVM,Leave-One-Subject-Out,60,189,0.7333333333333333,0.6666666666666666,0.665359477124183,0.6666666666666666,0.6648946360153257,0.740050287356322,0.5800026962997934
All sensors,All features,Logistic Regression,Leave-One-Subject-Out,60,240,0.7166666666666667,0.6666666666666666,0.6846240179573512,0.6666666666666666,0.6637609269188217,0.7258908706277128,0.5646625342464663
EMG,Top 5 selected features,Logistic Regression,Leave-One-Subject-Out,60,5,0.7,0.6666666666666666,0.6624166908142568,0.6666666666666666,0.6634278199883109,0.7009606954997079,0.5238800509922252
Accelerometer,Top 5 selected features,Gradient Boosting,Leave-One-Subject-Out,60,5,0.7166666666666667,0.6555555555555556,0.6701631701631702,0.6555555555555556,0.6609195402298851,0.709975369458128,0.5392774151355709
Accelerometer,All features,Random Forest,Leave-One-Subject-Out,60,51,0.7166666666666667,0.6555555555555556,0.6665001665001665,0.6555555555555556,0.6592775041050903,0.7087438423645319,0.5392774151355709
Gyroscope + Accelerometer,All features,Linear SVM,Leave-One-Subject-Out,60,102,0.7166666666666667,0.6555555555555556,0.6671717171717172,0.6555555555555556,0.6585537918871252,0.7082010582010582,0.5397807072797686
EMG,All features,Gradient Boosting,Leave-One-Subject-Out,60,138,0.7,0.6555555555555556,0.6592933947772658,0.6555555555555556,0.6571320896928584,0.6977671000565291,0.5170231082839036
EMG,Top 5 selected features,Random Forest,Leave-One-Subject-Out,60,5,0.7,0.6555555555555556,0.6587301587301587,0.6555555555555556,0.6567173402546039,0.7008713385242863,0.520231265299403
EMG,Top 10 selected features,Random Forest,Leave-One-Subject-Out,60,10,0.7166666666666667,0.6444444444444445,0.6891209391209392,0.6444444444444445,0.656574676475174,0.7013862312369775,0.5348961926652424
Accelerometer + EMG,All features,RBF SVM,Leave-One-Subject-Out,60,189,0.7166666666666667,0.6555555555555556,0.6573097601323408,0.6555555555555556,0.6552970209765556,0.7127842411422527,0.5443725410182204
Accelerometer,Top 5 selected features,RBF SVM,Leave-One-Subject-Out,60,5,0.7,0.6555555555555556,0.654022988505747,0.6555555555555556,0.6545288864589028,0.7027610716238382,0.5234199015393667
EMG,Top 10 selected features,XGBoost,Leave-One-Subject-Out,60,10,0.7166666666666667,0.6444444444444444,0.6673669467787114,0.6444444444444444,0.6518199233716474,0.7076149425287356,0.5377392473112403
Accelerometer + EMG,All features,XGBoost,Leave-One-Subject-Out,60,189,0.7166666666666667,0.6444444444444444,0.6745098039215686,0.6444444444444444,0.6503763440860215,0.7065322580645161,0.5397956190493097
Accelerometer,Top 10 selected features,Extra Trees,Leave-One-Subject-Out,60,10,0.7166666666666667,0.6444444444444445,0.6633986928104575,0.6444444444444445,0.6501170710940826,0.7063378033205618,0.5377392473112403
EMG,All features,Logistic Regression,Leave-One-Subject-Out,60,138,0.6833333333333333,0.6444444444444445,0.6597222222222222,0.6444444444444445,0.6491437674233373,0.6804062126642773,0.4880935300919764
Accelerometer,Top 5 selected features,Random Forest,Leave-One-Subject-Out,60,5,0.7,0.6444444444444445,0.6561724565756824,0.6444444444444445,0.6489763541587973,0.6998470197174586,0.5174899464000368
Gyroscope,All features,Gaussian Naive Bayes,Leave-One-Subject-Out,60,51,0.7166666666666667,0.6444444444444445,0.6488095238095238,0.6444444444444445,0.6459028550241008,0.7102335928809789,0.5413319619607668
Gyroscope + EMG,All features,Gradient Boosting,Leave-One-Subject-Out,60,189,0.7333333333333333,0.6444444444444444,0.6537136066547831,0.6444444444444444,0.6441239316239317,0.7174679487179486,0.5661234054516653
EMG,Top 10 selected features,Gradient Boosting,Leave-One-Subject-Out,60,10,0.7,0.6333333333333333,0.6625874125874126,0.6333333333333333,0.640859140859141,0.6851898101898103,0.5073442741496281
Accelerometer + EMG,Top 10 selected features,Gradient Boosting,Leave-One-Subject-Out,60,10,0.6833333333333333,0.6333333333333333,0.6479021716213368,0.6333333333333333,0.6374215745800446,0.6829842137219185,0.4914961339447988
EMG,Top 10 selected features,k-NN,Leave-One-Subject-Out,60,10,0.7,0.6222222222222222,0.684360473834158,0.6222222222222222,0.6356209150326797,0.6825980392156862,0.507033427021852
Accelerometer + EMG,Top 5 selected features,Extra Trees,Leave-One-Subject-Out,60,5,0.7166666666666667,0.6333333333333333,0.6423611111111112,0.6333333333333333,0.635205097570689,0.7102747909199522,0.5423261445466405
Gyroscope,All features,Linear SVM,Leave-One-Subject-Out,60,51,0.7,0.6333333333333333,0.6423611111111112,0.6333333333333333,0.635205097570689,0.6941457586618877,0.5152098373193085
Accelerometer,Top 5 selected features,Extra Trees,Leave-One-Subject-Out,60,5,0.7,0.6333333333333333,0.6383928571428571,0.6333333333333333,0.6351501668520578,0.6941045606229143,0.5142653638627285
Accelerometer + EMG,Top 5 selected features,XGBoost,Leave-One-Subject-Out,60,5,0.7,0.6333333333333333,0.6425925925925926,0.6333333333333333,0.6344556677890011,0.7008417508417508,0.5220925637866243
Gyroscope,All features,Logistic Regression,Leave-One-Subject-Out,60,51,0.7,0.6333333333333333,0.6363095238095239,0.6333333333333333,0.6344456803856137,0.7008342602892103,0.520231265299403
Accelerometer,All features,Logistic Regression,Leave-One-Subject-Out,60,51,0.7,0.6333333333333333,0.6347670250896057,0.6333333333333333,0.6337792852207776,0.6966459393254193,0.5170231082839036
Gyroscope + Accelerometer,All features,Logistic Regression,Leave-One-Subject-Out,60,102,0.6833333333333333,0.6333333333333333,0.6322595704948646,0.6333333333333333,0.6318007662835249,0.689367816091954,0.5009114195316398
Accelerometer,Top 5 selected features,k-NN,Leave-One-Subject-Out,60,5,0.7166666666666667,0.6222222222222222,0.6437451437451438,0.6222222222222222,0.6253746253746254,0.6963036963036963,0.5355300671579408
Accelerometer,Top 10 selected features,XGBoost,Leave-One-Subject-Out,60,10,0.6833333333333333,0.6222222222222222,0.6398392527424785,0.6222222222222222,0.6252563465678219,0.6820570140242271,0.4928384108199975
EMG,Top 5 selected features,Gradient Boosting,Leave-One-Subject-Out,60,5,0.6833333333333333,0.6222222222222222,0.6367201426024955,0.6222222222222222,0.6246794871794873,0.6716346153846153,0.48327607782459236
Accelerometer + EMG,Top 5 selected features,Random Forest,Leave-One-Subject-Out,60,5,0.7,0.6222222222222222,0.6271506271506272,0.6222222222222222,0.6230614851304507,0.6895183360700602,0.5119722295590863
Accelerometer + EMG,All features,k-NN,Leave-One-Subject-Out,60,189,0.7,0.6222222222222222,0.639691027926322,0.6222222222222222,0.6229629629629629,0.6894444444444443,0.5148593138915215
Accelerometer,Top 5 selected features,XGBoost,Leave-One-Subject-Out,60,5,0.6833333333333333,0.6222222222222222,0.6246794871794873,0.6222222222222222,0.6224270353302611,0.6764976958525346,0.4874219954514389
All sensors,All features,RBF SVM,Leave-One-Subject-Out,60,240,0.7,0.6222222222222222,0.6222222222222222,0.6222222222222222,0.6222222222222222,0.7,0.52
EMG,Top 5 selected features,Linear SVM,Leave-One-Subject-Out,60,5,0.6666666666666666,0.6222222222222222,0.6222222222222222,0.6222222222222222,0.6222222222222222,0.6666666666666666,0.4666666666666667
Accelerometer,All features,k-NN,Leave-One-Subject-Out,60,51,0.6833333333333333,0.6222222222222222,0.625,0.6222222222222222,0.6212664277180406,0.6756272401433692,0.4880935300919764
Accelerometer + EMG,All features,Gradient Boosting,Leave-One-Subject-Out,60,189,0.6833333333333333,0.6111111111111112,0.6227272727272727,0.6111111111111112,0.6141093474426808,0.6748677248677247,0.48511936983371606
Accelerometer,All features,XGBoost,Leave-One-Subject-Out,60,51,0.6833333333333333,0.6111111111111112,0.6145833333333334,0.6111111111111112,0.6121616611049313,0.6768631813125695,0.4871987657646901
Accelerometer,All features,RBF SVM,Leave-One-Subject-Out,60,51,0.6833333333333333,0.6,0.607843137254902,0.6,0.6011904761904762,0.6696428571428572,0.48235730118025505
Accelerometer,Top 5 selected features,Gaussian Naive Bayes,Leave-One-Subject-Out,60,5,0.6666666666666666,0.611111111111111,0.5914498890905424,0.611111111111111,0.596937582314784,0.659567593515749,0.4729131527504449
EMG,All features,Linear SVM,Leave-One-Subject-Out,60,138,0.65,0.5777777777777778,0.613022113022113,0.5777777777777778,0.5863417952970192,0.633786197219033,0.4207850048966573
EMG,All features,RBF SVM,Leave-One-Subject-Out,60,138,0.6666666666666666,0.5888888888888889,0.6273182957393483,0.5888888888888889,0.5859180035650624,0.6379679144385026,0.4519411433189526
Accelerometer,All features,Linear SVM,Leave-One-Subject-Out,60,51,0.65,0.5777777777777778,0.5902777777777778,0.5777777777777778,0.5795160633870311,0.6409862538894797,0.43126413427796967
Accelerometer,Top 10 selected features,Gaussian Naive Bayes,Leave-One-Subject-Out,60,10,0.6666666666666666,0.6,0.5722222222222223,0.6,0.5784126984126984,0.6504761904761905,0.4719399037242694
Gyroscope + Accelerometer,All features,Gaussian Naive Bayes,Leave-One-Subject-Out,60,102,0.65,0.5777777777777777,0.5777777777777777,0.5777777777777777,0.5777777777777777,0.65,0.44
Accelerometer,Top 10 selected features,Gradient Boosting,Leave-One-Subject-Out,60,10,0.6333333333333333,0.5666666666666668,0.5740740740740741,0.5666666666666668,0.5673400673400674,0.6338383838383839,0.4149966532662911
Accelerometer + EMG,Top 5 selected features,Gradient Boosting,Leave-One-Subject-Out,60,5,0.65,0.5666666666666668,0.5684294871794872,0.5666666666666668,0.5665130568356375,0.6426267281105991,0.43326399595683457
EMG,Top 10 selected features,Gaussian Naive Bayes,Leave-One-Subject-Out,60,10,0.65,0.5444444444444444,0.6009966777408638,0.5444444444444444,0.5424159402241594,0.6054420921544209,0.41874015910697987
EMG,All features,k-NN,Leave-One-Subject-Out,60,138,0.6333333333333333,0.5333333333333333,0.5432575432575433,0.5333333333333333,0.527649110767999,0.6046920569565962,0.3934598389049582
Accelerometer,All features,Gradient Boosting,Leave-One-Subject-Out,60,51,0.5833333333333334,0.5222222222222223,0.5221755368814193,0.5222222222222223,0.5213122605363985,0.5892600574712644,0.3427288659953325
EMG,Top 5 selected features,Gaussian Naive Bayes,Leave-One-Subject-Out,60,5,0.6,0.4888888888888889,0.6069148936170213,0.4888888888888889,0.4873517786561265,0.5473320158102767,0.324262130597265
All sensors,All features,Gaussian Naive Bayes,Leave-One-Subject-Out,60,240,0.6,0.4888888888888889,0.4819624819624819,0.4888888888888889,0.46904946904946904,0.5462315462315462,0.32539568672798425
Gyroscope + EMG,All features,Gaussian Naive Bayes,Leave-One-Subject-Out,60,189,0.5833333333333334,0.46666666666666673,0.5041371158392435,0.46666666666666673,0.44417862838915473,0.5149521531100478,0.29009938072239616
Accelerometer,All features,Gaussian Naive Bayes,Leave-One-Subject-Out,60,51,0.45,0.4222222222222222,0.4688995215311004,0.4222222222222222,0.4301936991012621,0.4859105804483955,0.187428627462958
EMG,All features,Gaussian Naive Bayes,Leave-One-Subject-Out,60,138,0.55,0.4222222222222222,0.52,0.4222222222222222,0.39874686716791974,0.47406015037593985,0.21490278292025497
Accelerometer + EMG,All features,Gaussian Naive Bayes,Leave-One-Subject-Out,60,189,0.5333333333333333,0.39999999999999997,0.4238095238095238,0.39999999999999997,0.3648583484026522,0.45085895117540686,0.17810760752815266
