source,n_features,missing_percentage,mean_variance,median_variance
Gyroscope,51,0.0,9324895.429550633,192.0779438256907
Accelerometer,51,0.0,1.5525866943961553,0.022035469621141283
EMG,138,0.0,16912580.371720795,0.1682343251538832
Gyroscope + Accelerometer,102,0.0,4662448.491068664,0.34378630783394926
Gyroscope + EMG,189,0.0,14865109.831770113,0.917846619577012
Accelerometer + EMG,189,0.0,12348868.626875082,0.12249676035176346
All sensors,240,0.0,11706274.322443638,0.26910079006090765
